"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 13:02:58 GMT 2024","Fri Jan 05 13:03:01 GMT 2024","2850","tests","test_login_page","TestLogin","","","test_valid_login",""
"passed","Fri Jan 05 13:02:52 GMT 2024","Fri Jan 05 13:02:55 GMT 2024","3809","tests","test_login_page","TestRegister","","","test_register_user",""
"broken","Fri Jan 05 13:03:05 GMT 2024","Fri Jan 05 13:03:05 GMT 2024","0","tests","test_login_page","TestLogin","","","test_logout",""
"passed","Fri Jan 05 13:03:44 GMT 2024","Fri Jan 05 13:03:44 GMT 2024","480","tests","test_testcases_page","TestCases","","","test_testcases_page",""
"passed","Fri Jan 05 13:02:48 GMT 2024","Fri Jan 05 13:02:50 GMT 2024","2142","tests","test_home_page","TestHome","","","test_subscription",""
"passed","Fri Jan 05 13:03:04 GMT 2024","Fri Jan 05 13:03:05 GMT 2024","398","tests","test_login_page","TestLogin","","","test_invalid_login",""
"passed","Fri Jan 05 13:03:39 GMT 2024","Fri Jan 05 13:03:39 GMT 2024","382","tests","test_login_page","TestLogin","","","test_invalid_signin",""
"passed","Fri Jan 05 13:03:42 GMT 2024","Fri Jan 05 13:03:43 GMT 2024","616","tests","test_products_page","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 13:03:40 GMT 2024","Fri Jan 05 13:03:41 GMT 2024","617","tests","test_products_page","TestProducts","","","test_products_page",""
"passed","Fri Jan 05 13:02:45 GMT 2024","Fri Jan 05 13:02:47 GMT 2024","2622","tests","test_contact_page","TestContact","","","test_contact_us",""
